filename, n_bodies, n_steps, n_threads, version, time, n_procs
openmp, 10000, 100, 16, 0, 24.277969, 1
openmp, 10000, 100, 24, 0, 17.421495, 1
openmp, 10000, 100, 8, 1, 19.602837, 1
openmp, 10000, 100, 16, 1, 16.786196, 1
openmp, 10000, 100, 24, 1, 14.145296, 1
openmp, 10000, 100, 8, 2, 19.432543, 1
openmp, 10000, 100, 16, 2, 16.139584, 1
openmp, 10000, 100, 24, 2, 11.953074, 1
openmp, 10000, 100, 8, 3, 19.523254, 1
openmp, 10000, 100, 16, 3, 15.588262, 1
openmp, 10000, 100, 24, 3, 10.958787, 1
openmp, 10000, 100, 8, 4, 19.284624, 1
openmp, 10000, 100, 16, 4, 15.464186, 1
openmp, 10000, 100, 24, 4, 11.053214, 1
openmp, 10000, 100, 8, 5, 19.445204, 1
openmp, 10000, 100, 16, 5, 13.810653, 1
openmp, 10000, 100, 24, 5, 16.372280, 1
openmp, 10000, 100, 8, 6, 19.593365, 1
openmp, 10000, 100, 16, 6, 13.262261, 1
openmp, 10000, 100, 24, 6, 12.880569, 1
openmp, 10000, 100, 8, 7, 18.998045, 1
openmp, 10000, 100, 16, 7, 12.486407, 1
openmp, 10000, 100, 24, 7, 11.966436, 1
openmp, 10000, 100, 8, 8, 19.307489, 1
openmp, 10000, 100, 16, 8, 12.594163, 1
openmp, 10000, 100, 24, 8, 11.388126, 1
openmp, 10000, 100, 8, 9, 19.692074, 1
openmp, 10000, 100, 16, 9, 12.475571, 1
openmp, 10000, 100, 24, 9, 11.551367, 1
openmp, 10000, 100, 8, 10, 19.157419, 1
openmp, 10000, 100, 16, 10, 14.055889, 1
openmp, 10000, 100, 24, 10, 10.755853, 1
openmp, 10000, 100, 8, 11, 19.193727, 1
openmp, 10000, 100, 16, 11, 13.683089, 1
openmp, 10000, 100, 24, 11, 10.992288, 1
openmp, 10000, 100, 8, 12, 19.154203, 1
openmp, 10000, 100, 16, 12, 13.832859, 1
openmp, 10000, 100, 24, 12, 10.823830, 1
openmp, 10000, 100, 8, 13, 19.886925, 1
openmp, 10000, 100, 16, 13, 13.685722, 1
openmp, 10000, 100, 24, 13, 10.913774, 1
openmp, 10000, 100, 8, 14, 19.939524, 1
openmp, 10000, 100, 16, 14, 14.045515, 1
openmp, 10000, 100, 24, 14, 11.166388, 1
openmp, 100, 1000, 8, 0, 0.041688, 1
openmp, 100, 1000, 16, 0, 0.037041, 1
openmp, 100, 1000, 24, 0, 0.033933, 1
openmp, 100, 1000, 8, 1, 0.042377, 1
openmp, 100, 1000, 16, 1, 0.034930, 1
openmp, 100, 1000, 24, 1, 0.026522, 1
openmp, 100, 1000, 8, 2, 0.051424, 1
openmp, 100, 1000, 16, 2, 0.035096, 1
openmp, 100, 1000, 24, 2, 0.036585, 1
openmp, 100, 1000, 8, 3, 0.053440, 1
openmp, 100, 1000, 16, 3, 0.049880, 1
openmp, 100, 1000, 24, 3, 0.051381, 1
openmp, 100, 1000, 8, 4, 0.111382, 1
openmp, 100, 1000, 16, 4, 0.113081, 1
openmp, 100, 1000, 24, 4, 0.114305, 1
openmp, 100, 1000, 8, 5, 0.034236, 1
openmp, 100, 1000, 16, 5, 0.033055, 1
openmp, 100, 1000, 24, 5, 0.036290, 1
openmp, 100, 1000, 8, 6, 0.034273, 1
openmp, 100, 1000, 16, 6, 0.031183, 1
openmp, 100, 1000, 24, 6, 0.029238, 1
openmp, 100, 1000, 8, 7, 0.041356, 1
openmp, 100, 1000, 16, 7, 0.038240, 1
openmp, 100, 1000, 24, 7, 0.038823, 1
openmp, 100, 1000, 8, 8, 0.054364, 1
openmp, 100, 1000, 16, 8, 0.054234, 1
openmp, 100, 1000, 24, 8, 0.058765, 1
openmp, 100, 1000, 8, 9, 0.095144, 1
openmp, 100, 1000, 16, 9, 0.104397, 1
openmp, 100, 1000, 24, 9, 0.115409, 1
openmp, 100, 1000, 8, 10, 0.038350, 1
openmp, 100, 1000, 16, 10, 0.033011, 1
openmp, 100, 1000, 24, 10, 0.031945, 1
openmp, 100, 1000, 8, 11, 0.034052, 1
openmp, 100, 1000, 16, 11, 0.032042, 1
openmp, 100, 1000, 24, 11, 0.031200, 1
openmp, 100, 1000, 8, 12, 0.042741, 1
openmp, 100, 1000, 16, 12, 0.037625, 1
openmp, 100, 1000, 24, 12, 0.039073, 1
openmp, 100, 1000, 8, 13, 0.052210, 1
openmp, 100, 1000, 16, 13, 0.056285, 1
openmp, 100, 1000, 24, 13, 0.058322, 1
openmp, 100, 1000, 8, 14, 0.104881, 1
openmp, 100, 1000, 16, 14, 0.108110, 1
openmp, 100, 1000, 24, 14, 0.115461, 1
openmp, 1000, 1000, 8, 0, 2.213870, 1
openmp, 1000, 1000, 16, 0, 2.332238, 1
openmp, 1000, 1000, 24, 0, 1.806137, 1
openmp, 1000, 1000, 8, 1, 2.047967, 1
openmp, 1000, 1000, 16, 1, 1.769506, 1
openmp, 1000, 1000, 24, 1, 1.311310, 1
openmp, 1000, 1000, 8, 2, 2.018565, 1
openmp, 1000, 1000, 16, 2, 1.788387, 1
openmp, 1000, 1000, 24, 2, 1.362314, 1
openmp, 1000, 1000, 8, 3, 2.106059, 1
openmp, 1000, 1000, 16, 3, 1.950893, 1
openmp, 1000, 1000, 24, 3, 1.561377, 1
openmp, 1000, 1000, 8, 4, 2.276711, 1
openmp, 1000, 1000, 16, 4, 2.270926, 1
openmp, 1000, 1000, 24, 4, 1.276015, 1
openmp, 1000, 1000, 8, 5, 2.263341, 1
openmp, 1000, 1000, 16, 5, 1.784746, 1
openmp, 1000, 1000, 24, 5, 1.747527, 1
openmp, 1000, 1000, 8, 6, 2.220135, 1
openmp, 1000, 1000, 16, 6, 1.538087, 1
openmp, 1000, 1000, 24, 6, 1.453329, 1
openmp, 1000, 1000, 8, 7, 2.297712, 1
openmp, 1000, 1000, 16, 7, 1.531834, 1
openmp, 1000, 1000, 24, 7, 1.578530, 1
openmp, 1000, 1000, 8, 8, 2.426281, 1
openmp, 1000, 1000, 16, 8, 1.642799, 1
openmp, 1000, 1000, 24, 8, 1.732494, 1
openmp, 1000, 1000, 8, 9, 2.547720, 1
openmp, 1000, 1000, 16, 9, 1.736867, 1
openmp, 1000, 1000, 24, 9, 1.383883, 1
openmp, 1000, 1000, 8, 10, 2.153919, 1
openmp, 1000, 1000, 16, 10, 1.561004, 1
openmp, 1000, 1000, 24, 10, 1.250076, 1
openmp, 1000, 1000, 8, 11, 2.171186, 1
openmp, 1000, 1000, 16, 11, 1.576437, 1
openmp, 1000, 1000, 24, 11, 1.309060, 1
openmp, 1000, 1000, 8, 12, 2.224207, 1
openmp, 1000, 1000, 16, 12, 1.591762, 1
openmp, 1000, 1000, 24, 12, 1.305297, 1
openmp, 1000, 1000, 8, 13, 2.339673, 1
openmp, 1000, 1000, 16, 13, 1.617878, 1
openmp, 1000, 1000, 24, 13, 1.403076, 1
openmp, 1000, 1000, 8, 14, 2.494289, 1
openmp, 1000, 1000, 16, 14, 1.712728, 1
openmp, 1000, 1000, 24, 14, 1.815140, 1
openmp, 10000, 1000, 8, 0, 209.832581, 1
openmp, 10000, 1000, 16, 0, 243.176193, 1
openmp, 10000, 1000, 24, 0, 177.486420, 1
openmp, 10000, 1000, 8, 1, 194.179565, 1
openmp, 10000, 1000, 16, 1, 167.398758, 1
openmp, 10000, 1000, 24, 1, 144.650452, 1
openmp, 10000, 1000, 8, 2, 192.270264, 1
openmp, 10000, 1000, 16, 2, 161.256180, 1
openmp, 10000, 1000, 24, 2, 114.234459, 1
openmp, 10000, 1000, 8, 3, 194.738602, 1
openmp, 10000, 1000, 16, 3, 156.647278, 1
openmp, 10000, 1000, 24, 3, 110.541328, 1
openmp, 10000, 1000, 8, 4, 191.392227, 1
openmp, 10000, 1000, 16, 4, 152.715897, 1
openmp, 10000, 1000, 24, 4, 109.735939, 1
openmp, 10000, 1000, 8, 5, 205.196182, 1
